,R202G,max,diff,True
328,1.713411334620907e-06,1.1617140855993541e-06,-2.0347133462090694e-07,0
329,7.394382260383685e-06,1.1617140855993541e-06,-6.057722603836838e-07,0
330,2.2757838263604207e-05,1.1617140855993541e-06,-3.965382636042046e-07,0
331,4.9583428552745506e-05,1.1617140855993541e-06,1.3346714472544974e-06,0
332,7.809955435579982e-05,1.1617140855993541e-06,2.655245644200179e-06,0
333,9.129818759601752e-05,1.1617140855993541e-06,8.573124039824799e-07,0
334,7.981294184436762e-05,1.1617140855993541e-06,-2.6350418443676156e-06,0
335,5.196048391849445e-05,1.1617140855993541e-06,-4.323483918494454e-06,1
336,2.563717166898696e-05,1.1617140855993541e-06,-3.2082716689869624e-06,1
337,1.0280003454219837e-05,1.1617140855993541e-06,-9.81973454219837e-07,0
338,4.022100499165614e-06,1.1617140855993541e-06,5.077595008343864e-07,0
339,2.003467986877354e-06,1.1617140855993541e-06,1.049882013122646e-06,1
340,1.2160485807697464e-06,1.1617140855993541e-06,1.3157414192302538e-06,1
341,8.440310232961412e-07,1.1617140855993541e-06,1.6546089767038587e-06,1
342,1.3715619388883022e-06,1.1617140855993541e-06,2.1646080611116973e-06,1
343,5.081183222056105e-06,1.1617140855993541e-06,2.810116777943895e-06,1
344,1.7637709851305544e-05,1.1617140855993541e-06,3.0601901486944563e-06,1
345,4.462907515078505e-05,1.1617140855993541e-06,2.2862248492149423e-06,0
346,8.012524474253372e-05,1.1617140855993541e-06,9.284552574662759e-07,0
347,0.00010549270019041407,1.1617140855993541e-06,4.3529980958592184e-07,0
348,0.00010751134077726888,1.1617140855993541e-06,1.2356592227311287e-06,0
349,8.670958312556922e-05,1.1617140855993541e-06,1.7953168744307802e-06,0
350,5.277875313649197e-05,1.1617140855993541e-06,1.0762468635080303e-06,0
351,2.223696914405492e-05,1.1617140855993541e-06,3.72308559450813e-08,0
352,1.9404155752591463e-06,1.1617140855993541e-06,-1.0496085752591463e-06,1
353,2.5462474332384134e-06,1.1617140855993541e-06,-1.7487434332384133e-06,1
354,2.13064077830632e-06,1.1617140855993541e-06,-1.67887377830632e-06,1
