,V218M,max,diff,True
205,1.6034219802399615e-05,1.2811640907445192e-06,4.7786801976003835e-06,1
206,2.0783507213207833e-05,1.2811640907445192e-06,5.25409278679217e-06,1
207,2.0732056037728776e-05,1.2811640907445192e-06,4.7441439622712225e-06,1
208,1.5554260253749213e-05,1.2811640907445192e-06,3.6270397462507897e-06,1
209,8.975498548981027e-06,1.2811640907445192e-06,2.4971014510189723e-06,1
210,4.505716641720363e-06,1.2811640907445192e-06,1.5137933582796374e-06,1
211,2.7118051877659006e-06,1.2811640907445192e-06,6.593148122340989e-07,0
212,2.713675583626489e-06,1.2811640907445192e-06,3.094441637351121e-08,0
213,3.7370612361036567e-06,1.2811640907445192e-06,-2.654012361036568e-07,0
214,5.618148349873522e-06,1.2811640907445192e-06,-2.802383498735226e-07,0
215,9.490718166741004e-06,1.2811640907445192e-06,-2.0523816674100382e-07,0
216,1.7832451375775862e-05,1.2811640907445192e-06,-1.3885137577586266e-07,0
217,3.313651778341577e-05,1.2811640907445192e-06,-1.2391778341576572e-07,0
218,5.42981781577625e-05,1.2811640907445192e-06,-5.233781577625044e-07,0
219,7.227375717047312e-05,1.2811640907445192e-06,-2.1989571704731254e-06,0
220,7.433939926311249e-05,1.2811640907445192e-06,-4.423199263112488e-06,0
221,5.7720501879879604e-05,1.2811640907445192e-06,-4.4340018798796056e-06,0
222,3.3589953937515446e-05,1.2811640907445192e-06,-2.283653937515444e-06,0
223,1.4438373211662522e-05,1.2811640907445192e-06,-6.348732116625229e-07,0
224,2.7926461572487484e-06,1.2811640907445192e-06,3.526838427512518e-07,0
225,3.35654350755878e-06,1.2811640907445192e-06,7.276264924412195e-07,0
226,2.468188370894093e-06,1.2811640907445192e-06,9.19401629105907e-07,0
227,1.3348782796208777e-06,1.2811640907445192e-06,8.990517203791222e-07,0
228,6.582608229319697e-07,1.2811640907445192e-06,7.645491770680303e-07,0
229,3.145114271458416e-07,1.2811640907445192e-06,5.730325728541585e-07,0
230,1.4775539931951052e-07,1.2811640907445192e-06,3.8242860068048946e-07,0
231,1.0053163883871257e-07,1.2811640907445192e-06,2.893593611612874e-07,0
232,2.4255579904805994e-07,1.2811640907445192e-06,4.0147020095194014e-07,0
233,9.914534448381165e-07,1.2811640907445192e-06,8.762565551618833e-07,0
234,3.301083972266877e-06,1.2811640907445192e-06,2.0142860277331224e-06,1
235,8.478523805078841e-06,1.2811640907445192e-06,3.934376194921158e-06,1
236,1.7356043355061194e-05,1.2811640907445192e-06,5.644256644938807e-06,1
237,2.8309294645624464e-05,1.2811640907445192e-06,5.6381053543755355e-06,1
238,3.5742802099562955e-05,1.2811640907445192e-06,4.100497900437044e-06,1
239,3.383411343266755e-05,1.2811640907445192e-06,2.7526865673324494e-06,0
240,2.370212350304484e-05,1.2811640907445192e-06,2.4453764969551616e-06,0
241,1.2906537739143912e-05,1.2811640907445192e-06,2.212062260856088e-06,1
242,6.698346043313808e-06,1.2811640907445192e-06,1.2606939566861926e-06,0
243,4.841973555523126e-06,1.2811640907445192e-06,-1.7426355552312692e-07,0
244,5.078946050409114e-06,1.2811640907445192e-06,-1.3756760504091143e-06,0
245,5.686336593999301e-06,1.2811640907445192e-06,-1.6397165939993008e-06,0
246,6.540032422480513e-06,1.2811640907445192e-06,-1.033462422480513e-06,0
247,9.465402686654497e-06,1.2811640907445192e-06,-2.923726866544966e-07,0
248,1.7347011097527138e-05,1.2811640907445192e-06,5.748890247286086e-08,0
249,3.3184261973654324e-05,1.2811640907445192e-06,-4.966619736543218e-07,0
250,5.676572356554166e-05,1.2811640907445192e-06,-3.12652356554166e-06,0
251,7.821441840132637e-05,1.2811640907445192e-06,-7.991518401326368e-06,1
252,8.24117288938239e-05,1.2811640907445192e-06,-1.1525228893823907e-05,1
253,6.596038810088471e-05,1.2811640907445192e-06,-9.728988100884702e-06,1
254,4.055511437771132e-05,1.2811640907445192e-06,-4.800114377711324e-06,1
255,1.882514587018228e-05,1.2811640907445192e-06,-1.3959458701822809e-06,0
256,3.7061949061610664e-06,1.2811640907445192e-06,9.137950938389335e-07,0
257,4.2795923051114534e-06,1.2811640907445192e-06,1.3963376948885471e-06,0
258,3.0081432583486096e-06,1.2811640907445192e-06,1.3488467416513905e-06,0
259,1.5301859009333666e-06,1.2811640907445192e-06,1.0867340990666334e-06,0
260,6.921205439536489e-07,1.2811640907445192e-06,7.990694560463511e-07,0
261,3.179232054911608e-07,1.2811640907445192e-06,5.170027945088391e-07,0
262,1.6155491248410444e-07,1.2811640907445192e-06,3.285620875158956e-07,0
263,1.5241758221001274e-07,1.2811640907445192e-06,2.939284177899872e-07,0
264,4.787262698410115e-07,1.2811640907445192e-06,5.007247301589886e-07,0
265,1.978577116210131e-06,1.2811640907445192e-06,1.1678628837898688e-06,0
266,6.7890900267533545e-06,1.2811640907445192e-06,2.5486999732466455e-06,0
267,1.800327371837679e-05,1.2811640907445192e-06,4.131326281623208e-06,1
268,3.625157050500319e-05,1.2811640907445192e-06,4.011829494996805e-06,1
269,5.498372942711445e-05,1.2811640907445192e-06,1.5614705728855498e-06,0
270,6.267444686315396e-05,1.2811640907445192e-06,-6.150468631539621e-07,0
271,5.3235989233967407e-05,1.2811640907445192e-06,-1.8868923396741052e-07,0
272,3.358604055616558e-05,1.2811640907445192e-06,1.7638594438344152e-06,0
273,1.6748752882027317e-05,1.2811640907445192e-06,2.7100471179726835e-06,1
274,8.590595758274831e-06,1.2811640907445192e-06,1.916004241725169e-06,1
275,6.646845782783986e-06,1.2811640907445192e-06,3.0943421721601445e-07,0
276,6.805694910074527e-06,1.2811640907445192e-06,-8.991949100745272e-07,0
277,6.793904997129054e-06,1.2811640907445192e-06,-1.0171949971290545e-06,0
278,6.788750312246217e-06,1.2811640907445192e-06,-2.9459031224621735e-07,0
279,9.058628836681823e-06,1.2811640907445192e-06,5.49311163318176e-07,0
280,1.7500487616222297e-05,1.2811640907445192e-06,8.693123837777042e-07,0
281,3.686069111010109e-05,1.2811640907445192e-06,-3.4219111010109e-07,0
282,6.687465138888448e-05,1.2811640907445192e-06,-4.377551388884477e-06,0
283,9.428776289340483e-05,1.2811640907445192e-06,-1.0054762893404843e-05,1
284,0.00010172504354265332,1.2811640907445192e-06,-1.2784943542653316e-05,1
285,8.607123030496314e-05,1.2811640907445192e-06,-1.007943030496314e-05,1
286,5.7166847715969186e-05,1.2811640907445192e-06,-4.8754477159691805e-06,1
287,2.7975149600528955e-05,1.2811640907445192e-06,-1.3325496005289533e-06,0
288,3.6308046393035288e-06,1.2811640907445192e-06,1.1312653606964714e-06,0
289,3.713404993828402e-06,1.2811640907445192e-06,1.4807150061715967e-06,0
290,2.2701676665113154e-06,1.2811640907445192e-06,1.2496523334886845e-06,0
291,9.887745720780427e-07,1.2811640907445192e-06,8.569054279219571e-07,0
292,3.865469726136884e-07,1.2811640907445192e-06,5.131650273863115e-07,0
293,1.6885391480376244e-07,1.2811640907445192e-06,2.7857908519623754e-07,0
294,1.0965917180683005e-07,1.2811640907445192e-06,1.7494082819316993e-07,0
295,2.2251618265563866e-07,1.2811640907445192e-06,1.722438173443613e-07,0
