,I251L,max,diff,True
329,1.0334510853859536e-05,1.076209015523905e-06,-3.545900853859535e-06,1
330,2.8955038249406453e-05,1.076209015523905e-06,-6.593738249406451e-06,1
331,5.985136420419682e-05,1.076209015523905e-06,-8.933264204196814e-06,1
332,9.01518480409572e-05,1.076209015523905e-06,-9.397048040957204e-06,1
333,9.895945672486717e-05,1.076209015523905e-06,-6.803956724867172e-06,1
334,7.908651885824865e-05,1.076209015523905e-06,-1.908618858248646e-06,0
335,4.5479998515955266e-05,1.076209015523905e-06,2.1570014840447324e-06,0
336,1.884182771666308e-05,1.076209015523905e-06,3.587072283336917e-06,1
337,6.266580572892194e-06,1.076209015523905e-06,3.0314494271078063e-06,1
338,2.57786547290316e-06,1.076209015523905e-06,1.9519945270968403e-06,1
339,1.8079117102747354e-06,1.076209015523905e-06,1.2454382897252644e-06,1
340,1.5108358488169946e-06,1.076209015523905e-06,1.0209541511830056e-06,1
341,1.3764051411392359e-06,1.076209015523905e-06,1.122234858860764e-06,1
342,1.9391560819580017e-06,1.076209015523905e-06,1.597013918041998e-06,1
343,5.2426238857442325e-06,1.076209015523905e-06,2.6486761142557676e-06,1
344,1.6280249171952528e-05,1.076209015523905e-06,4.417650828047473e-06,1
345,4.0012213060908816e-05,1.076209015523905e-06,6.903086939091178e-06,1
346,7.224132288598865e-05,1.076209015523905e-06,8.812377114011347e-06,1
347,9.840902161837296e-05,1.076209015523905e-06,7.518978381627035e-06,0
348,0.00010492259220841044,1.076209015523905e-06,3.824407791589568e-06,0
349,8.668111478821111e-05,1.076209015523905e-06,1.8237852117888859e-06,0
350,5.205034570863548e-05,1.076209015523905e-06,1.8046542913645216e-06,0
351,2.095411710903662e-05,1.076209015523905e-06,1.3200828909633812e-06,0
352,4.911830293268028e-07,1.076209015523905e-06,3.996239706731971e-07,0
353,3.1936797353627195e-07,1.076209015523905e-06,4.78136026463728e-07,0
354,1.1377754104287937e-07,1.076209015523905e-06,3.3798945895712057e-07,0
355,2.6713781026757668e-08,1.076209015523905e-06,1.6388021897324232e-07,0
356,7.21847952832052e-09,1.076209015523905e-06,6.324202047167948e-08,0
357,1.0162851168102809e-08,1.076209015523905e-06,2.2189048831897196e-08,0
358,8.20344362546133e-08,1.076209015523905e-06,-3.47227362546133e-08,1
359,5.815424518566388e-07,1.076209015523905e-06,-3.3298845185663884e-07,1
360,2.9643188535942764e-06,1.076209015523905e-06,-1.4488588535942766e-06,1
361,1.090881909064005e-05,1.076209015523905e-06,-4.04766909064005e-06,1
362,2.8618368266543927e-05,1.076209015523905e-06,-7.768768266543926e-06,1
363,5.266112272586354e-05,1.076209015523905e-06,-1.0636622725863542e-05,1
