,T125R,max,diff,True
276,5.037239639477093e-06,1.0984206599276616e-06,8.69260360522907e-07,0
277,4.523352996641964e-06,1.0984206599276616e-06,1.2533570033580355e-06,0
278,5.412879398715071e-06,1.0984206599276616e-06,1.0812806012849287e-06,0
279,9.563934999093884e-06,1.0984206599276616e-06,4.400500090611546e-08,0
280,2.0031085685329395e-05,1.0984206599276616e-06,-1.6612856853293935e-06,0
281,4.010951064943908e-05,1.0984206599276616e-06,-3.5910106494390807e-06,0
282,6.724255303834688e-05,1.0984206599276616e-06,-4.745453038346878e-06,0
283,8.819764607215951e-05,1.0984206599276616e-06,-3.964646072159521e-06,0
284,9.042540808617244e-05,1.0984206599276616e-06,-1.4853080861724355e-06,0
285,7.510932163870657e-05,1.0984206599276616e-06,8.824783612934302e-07,0
286,5.096276281200196e-05,1.0984206599276616e-06,1.3286371879980485e-06,0
287,2.6419611349070318e-05,1.0984206599276616e-06,2.229886509296834e-07,0
288,4.854374872483779e-06,1.0984206599276616e-06,-9.230487248377846e-08,0
289,5.197490311601886e-06,1.0984206599276616e-06,-3.3703116018874506e-09,0
290,3.4223604337850183e-06,1.0984206599276616e-06,9.745956621498161e-08,0
291,1.5634892545425629e-06,1.0984206599276616e-06,2.82190745457437e-07,0
292,5.8868488033407e-07,1.0984206599276616e-06,3.1102711966593e-07,0
293,2.89305904369561e-07,1.0984206599276616e-06,1.5812709563043894e-07,0
294,3.993599866411587e-07,1.0984206599276616e-06,-1.1475998664115868e-07,0
295,9.54773722621417e-07,1.0984206599276616e-06,-5.60013722621417e-07,1
296,2.3787361116449487e-06,1.0984206599276616e-06,-1.0982461116449487e-06,1
297,6.48435417594172e-06,1.0984206599276616e-06,-1.5668841759417203e-06,1
298,1.692240167616777e-05,1.0984206599276616e-06,-1.102901676167769e-06,0
299,3.58611872735167e-05,1.0984206599276616e-06,2.107212726483298e-06,0
300,6.012799233177299e-05,1.0984206599276616e-06,6.181007668227002e-06,1
301,8.047061637590898e-05,1.0984206599276616e-06,5.598583624091027e-06,1
302,8.422181651716641e-05,1.0984206599276616e-06,6.919834828335807e-07,0
303,6.640586228394679e-05,1.0984206599276616e-06,-2.62286228394679e-06,0
304,3.901748843081067e-05,1.0984206599276616e-06,-2.0580884308106745e-06,0
305,1.8317196363215887e-05,1.0984206599276616e-06,-1.2149636321588759e-07,0
306,8.815240162697995e-06,1.0984206599276616e-06,8.173198373020058e-07,0
307,5.932774751751866e-06,1.0984206599276616e-06,7.645652482481336e-07,0
308,4.9579049934126035e-06,1.0984206599276616e-06,7.266850065873972e-07,0
309,4.4146343551705995e-06,1.0984206599276616e-06,8.931156448294007e-07,0
310,5.16153034018992e-06,1.0984206599276616e-06,8.0539965981008e-07,0
311,9.811944618560942e-06,1.0984206599276616e-06,-7.368461856094135e-08,0
312,2.317725953610607e-05,1.0984206599276616e-06,-1.9861595361060675e-06,0
313,4.945157266952392e-05,1.0984206599276616e-06,-3.881572669523922e-06,0
314,8.305783119325709e-05,1.0984206599276616e-06,-3.1769311932570906e-06,0
315,0.00010710196734832184,1.0984206599276616e-06,9.350326516781722e-07,0
316,0.00010984206599276617,1.0984206599276616e-06,5.374934007233839e-06,0
317,9.24679911105226e-05,1.0984206599276616e-06,7.087708889477401e-06,0
318,6.185532766123908e-05,1.0984206599276616e-06,5.280672338760922e-06,1
319,3.004692065687387e-05,1.0984206599276616e-06,1.8564793431261326e-06,0
320,2.2701388579099987e-06,1.0984206599276616e-06,4.816611420900013e-07,0
321,2.0880902755870853e-06,1.0984206599276616e-06,5.861397244129149e-07,0
322,1.152430492997976e-06,1.0984206599276616e-06,4.7226950700202414e-07,0
323,4.467904607621477e-07,1.0984206599276616e-06,3.004625392378523e-07,0
324,1.847546109275683e-07,1.0984206599276616e-06,1.1969438907243174e-07,0
325,1.8078922568123484e-07,1.0984206599276616e-06,-4.717122568123484e-08,0
326,3.9099798439152974e-07,1.0984206599276616e-06,-2.8090298439152976e-07,1
327,9.192442880480708e-07,1.0984206599276616e-06,-6.146912880480708e-07,1
328,2.376989642695915e-06,1.0984206599276616e-06,-8.670496426959149e-07,1
329,7.153505866415819e-06,1.0984206599276616e-06,-3.648958664158175e-07,0
330,1.927181990780936e-05,1.0984206599276616e-06,3.0894800921906426e-06,1
331,4.085130597691374e-05,1.0984206599276616e-06,1.0066794023086263e-05,1
332,6.730916107198968e-05,1.0984206599276616e-06,1.3445638928010316e-05,1
333,8.496570786194519e-05,1.0984206599276616e-06,7.189792138054805e-06,1
334,7.918143297720459e-05,1.0984206599276616e-06,-2.0035329772045805e-06,0
335,5.286703584428028e-05,1.0984206599276616e-06,-5.230035844280285e-06,1
336,2.555003786748184e-05,1.0984206599276616e-06,-3.1211378674818414e-06,1
337,9.874944286596867e-06,1.0984206599276616e-06,-5.769142865968667e-07,0
338,4.175312756505851e-06,1.0984206599276616e-06,3.54547243494149e-07,0
339,2.762956587083769e-06,1.0984206599276616e-06,2.903934129162309e-07,0
340,2.359816930215362e-06,1.0984206599276616e-06,1.719730697846382e-07,0
341,2.2174202607876288e-06,1.0984206599276616e-06,2.8121973921237115e-07,0
342,3.205889032822525e-06,1.0984206599276616e-06,3.302809671774747e-07,0
343,8.122896511123926e-06,1.0984206599276616e-06,-2.315965111239262e-07,0
344,2.2298270268919118e-05,1.0984206599276616e-06,-1.6003702689191172e-06,0
345,4.9142590950547806e-05,1.0984206599276616e-06,-2.227290950547811e-06,0
346,8.096914577519697e-05,1.0984206599276616e-06,8.455422480302193e-08,0
347,0.00010163163301353368,1.0984206599276616e-06,4.296366986466309e-06,0
348,0.00010125731024119972,1.0984206599276616e-06,7.4896897588002835e-06,0
349,8.041664808469058e-05,1.0984206599276616e-06,8.088251915309421e-06,1
350,4.829175735517107e-05,1.0984206599276616e-06,5.563242644828926e-06,1
351,2.027181784865053e-05,1.0984206599276616e-06,2.0023821513494704e-06,1
352,5.189212113257029e-07,1.0984206599276616e-06,3.71885788674297e-07,0
353,3.943771409511945e-07,1.0984206599276616e-06,4.031268590488055e-07,0
