,K292I,max,diff,True
281,3.63381379443625e-05,1.056035626733772e-06,1.8036205563749997e-07,0
282,6.192494783188028e-05,1.056035626733772e-06,5.721521681197191e-07,0
283,8.238056860392753e-05,1.056035626733772e-06,1.8524313960724647e-06,0
284,8.664596147660532e-05,1.056035626733772e-06,2.2941385233946884e-06,0
285,7.472594317478266e-05,1.056035626733772e-06,1.2658568252173398e-06,0
286,5.245004728683228e-05,1.056035626733772e-06,-1.5864728683227537e-07,0
287,2.766400305695819e-05,1.056035626733772e-06,-1.02140305695819e-06,0
288,6.018068435630237e-06,1.056035626733772e-06,-1.2559984356302373e-06,1
289,7.5624557809854645e-06,1.056035626733772e-06,-2.3683357809854657e-06,1
290,5.8096994175412875e-06,1.056035626733772e-06,-2.2898794175412876e-06,1
291,2.8706226604486883e-06,1.056035626733772e-06,-1.0249426604486885e-06,0
292,9.667228628141328e-07,1.056035626733772e-06,-6.701086281413288e-08,0
293,2.5211804906732824e-07,1.056035626733772e-06,1.9531495093267171e-07,0
294,8.458901391434653e-08,1.056035626733772e-06,2.0001098608565346e-07,0
295,1.5747599339525228e-07,1.056035626733772e-06,2.372840066047477e-07,0
296,9.084544843143648e-07,1.056035626733772e-06,3.7203551568563524e-07,0
297,4.470146623361216e-06,1.056035626733772e-06,4.4732337663878315e-07,0
298,1.538702535717427e-05,1.056035626733772e-06,4.3247464282572987e-07,0
299,3.701684637956814e-05,1.056035626733772e-06,9.515536204318583e-07,0
300,6.488179976976565e-05,1.056035626733772e-06,1.4272002302343417e-06,0
301,8.713943011198275e-05,1.056035626733772e-06,-1.0702301119827471e-06,0
302,9.151005025545724e-05,1.056035626733772e-06,-6.596250255457242e-06,1
303,7.355101721935363e-05,1.056035626733772e-06,-9.768017219353634e-06,1
304,4.409135432264585e-05,1.056035626733772e-06,-7.131954322645854e-06,1
305,2.0122612284264185e-05,1.056035626733772e-06,-1.9269122842641856e-06,0
306,7.785160489824846e-06,1.056035626733772e-06,1.847399510175155e-06,0
307,3.079948057135368e-06,1.056035626733772e-06,3.617391942864632e-06,1
308,1.5226258147182262e-06,1.056035626733772e-06,4.161964185281774e-06,1
309,1.322029799268803e-06,1.056035626733772e-06,3.985720200731197e-06,1
310,2.48601567752842e-06,1.056035626733772e-06,3.48091432247158e-06,1
311,6.876925215542924e-06,1.056035626733772e-06,2.861334784457076e-06,1
312,1.8775025709065152e-05,1.056035626733772e-06,2.4160742909348493e-06,0
313,4.205286268413644e-05,1.056035626733772e-06,3.5171373158635616e-06,0
314,7.263274499224455e-05,1.056035626733772e-06,7.248155007755447e-06,0
315,9.73731444148752e-05,1.056035626733772e-06,1.0663855585124805e-05,1
316,0.0001056035626733772,1.056035626733772e-06,9.61343732662281e-06,0
317,9.453948115116075e-05,1.056035626733772e-06,5.0162188488392454e-06,0
318,6.661135495140048e-05,1.056035626733772e-06,5.246450485995197e-07,0
319,3.37206534532414e-05,1.056035626733772e-06,-1.8172534532413993e-06,0
320,6.3109146269757535e-06,1.056035626733772e-06,-3.5591146269757534e-06,1
321,7.261150697603267e-06,1.056035626733772e-06,-4.586920697603267e-06,1
322,4.97123035209045e-06,1.056035626733772e-06,-3.3465303520904505e-06,1
323,2.0771385471167797e-06,1.056035626733772e-06,-1.3298855471167797e-06,1
324,5.389458481407138e-07,1.056035626733772e-06,-2.3449684814071376e-07,0
325,9.455666449328526e-08,1.056035626733772e-06,3.906133550671474e-08,0
326,3.471287637216609e-08,1.056035626733772e-06,7.53821236278339e-08,0
327,2.1363793823712688e-07,1.056035626733772e-06,9.09150617628731e-08,0
328,1.503367831972573e-06,1.056035626733772e-06,6.5721680274270474e-09,0
329,7.173318463478407e-06,1.056035626733772e-06,-3.847084634784057e-07,0
330,2.294857126121759e-05,1.056035626733772e-06,-5.872712612175893e-07,0
331,5.071486258531308e-05,1.056035626733772e-06,2.0323741468692043e-07,0
332,8.14450937387915e-05,1.056035626733772e-06,-6.902937387915048e-07,0
333,9.851977740571971e-05,1.056035626733772e-06,-6.364277405719715e-06,0
334,8.929837746097331e-05,1.056035626733772e-06,-1.2120477460973305e-05,1
335,5.899787773908791e-05,1.056035626733772e-06,-1.1360877739087914e-05,1
336,2.8082486825970886e-05,1.056035626733772e-06,-5.653586825970888e-06,1
337,9.979653218038825e-06,1.056035626733772e-06,-6.816232180388251e-07,0
338,2.981197857278517e-06,1.056035626733772e-06,1.5486621427214834e-06,1
339,9.409907460674324e-07,1.056035626733772e-06,2.1123592539325674e-06,1
340,4.482730318701021e-07,1.056035626733772e-06,2.083516968129898e-06,1
341,5.868740058530874e-07,1.056035626733772e-06,1.9117659941469125e-06,1
342,1.8033010524440225e-06,1.056035626733772e-06,1.7328689475559773e-06,1
343,6.4214955607578415e-06,1.056035626733772e-06,1.4698044392421587e-06,0
344,1.9125195971465574e-05,1.056035626733772e-06,1.5727040285344261e-06,0
345,4.326981863480316e-05,1.056035626733772e-06,3.645481365196831e-06,0
346,7.357344402334062e-05,1.056035626733772e-06,7.480255976659373e-06,1
347,9.728592574679669e-05,1.056035626733772e-06,8.642074253203307e-06,0
348,0.00010419947358902585,1.056035626733772e-06,4.54752641097416e-06,0
349,8.973360833252916e-05,1.056035626733772e-06,-1.2287083325291558e-06,0
350,5.828151036508634e-05,1.056035626733772e-06,-4.4265103650863416e-06,1
351,2.644878511280309e-05,1.056035626733772e-06,-4.174585112803089e-06,1
352,3.5376951848420976e-06,1.056035626733772e-06,-2.6468881848420976e-06,1
353,3.511777755526518e-06,1.056035626733772e-06,-2.714273755526518e-06,1
354,2.025392298111686e-06,1.056035626733772e-06,-1.5736252981116859e-06,1
355,6.853645689874082e-07,1.056035626733772e-06,-4.947705689874082e-07,1
356,1.3558733126429756e-07,1.056035626733772e-06,-6.512683126429757e-08,0
